DEPTH_WMSF,HSGR,Helper
137.4648,28.7502,1
137.6172,28.1237,1
137.7696,27.0679,1
137.922,27.3255,1
138.0744,28.3185,1
138.2268,29.4211,1
138.3792,28.7378,1
138.5316,28.7302,1
138.684,27.7853,1
138.8364,28.2514,1
138.9888,27.5388,1
139.1412,28.1394,1
139.2936,28.5641,1
139.446,29.4448,1
139.5984,32.3963,1
139.7508,33.6034,1
139.9032,33.6456,1
140.0556,32.7847,1
140.208,31.4466,1
140.3604,31.9182,1
140.5128,31.2284,1
140.6652,33.4775,1
140.8176,35.4949,1
140.97,36.9084,1
141.1224,36.1311,1
141.2748,33.6563,1
141.4272,31.9929,1
141.5796,29.2602,1
141.732,28.828,1
141.8844,26.9232,1
142.0368,28.31,1
142.1892,29.1056,1
142.3416,31.604,1
142.494,31.3665,1
142.6464,30.5824,1
142.7988,28.8666,1
142.9512,27.7821,1
143.1036,26.5675,1
143.256,26.3403,1
143.4084,26.2789,1
143.5608,26.443,1
143.7132,26.5675,1
143.8656,28.5314,1
144.018,30.768,1
144.1704,31.3965,1
144.3228,30.2097,1
144.4752,28.8927,1
144.6276,26.9687,1
144.78,28.5909,1
144.9324,28.0892,1
145.0848,30.2861,1
145.2372,29.6397,1
145.3896,29.9908,1
145.542,29.6362,1
145.6944,29.3881,1
145.8468,32.1751,1
145.9992,33.3103,1
146.1516,34.3872,1
146.304,33.4428,1
146.4564,33.7406,1
146.6088,32.7598,1
146.7612,29.9173,1
146.9136,28.7552,1
147.066,27.99,1
147.2184,30.1578,1
147.3708,31.2974,1
147.5232,32.3256,1
147.6756,33.6014,1
147.828,32.5417,1
147.9804,32.7546,1
148.1328,32.6661,1
148.2852,33.0621,1
148.4376,33.2802,1
148.59,32.143,1
148.7424,31.1109,1
148.8948,29.8114,1
149.0472,28.8432,1
149.1996,28.6971,1
149.352,28.501,1
149.5044,27.9525,1
149.6568,26.1162,1
149.8092,26.3259,1
149.9616,25.8201,1
150.114,27.1002,1
150.2664,24.9447,1
150.4188,23.3318,1
150.5712,23.1231,1
150.7236,23.3832,1
150.876,25.6743,1
151.0284,26.4512,1
151.1808,28.334,1
151.3332,28.264,1
151.4856,28.1801,1
151.638,27.0829,1
151.7904,28.0196,1
